ticker,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Price/Book (mrq),Trailing P/E,Forward P/E 1,PEG Ratio (5 yr expected) 1,Price/Sales (ttm),Total Debt/Equity (mrq),Diluted EPS (ttm),Trailing Annual Dividend Yield 3,Forward Annual Dividend Yield 4,% Held by Insiders 1,% Held by Institutions 1,Return on Equity (ttm),Return on Assets (ttm),Quarterly Earnings Growth (yoy),current_price
BIIB,Biogen Inc.,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875045,1978,3.74,13.67,14.45,6.24,3.29,71.72,19.29,,,0.63%,87.78%,26.49%,9.27%,-70.70%,267.33
BRK-B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839,1.44,15.61,25.51,,2.32,27.11,26667.81,,,0.18%,68.60%,9.83%,5.15%,22.90%,274.95
RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1095073,1973,1.13,13.04,12.50,,1.04,21.34,12.78,2.28%,2.28%,1.26%,81.91%,5.45%,1.31%,-70.80%,276.95
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,10.16,34.66,34.72,3.72,4.14,18.44,8.45,1.18%,1.20%,0.11%,73.60%,31.88%,11.57%,16.70%,289.97
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,7.0,28.21,28.90,1.25,10.09,9.08,11.67,,,0.58%,80.57%,28.24%,15.80%,93.70%,325.08
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929,9.66,38.45,34.60,3.06,5.46,72.49,9.14,1.21%,0.85%,14.55%,66.31%,27.67%,9.58%,10.20%,345.14
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,909832,1976,10.56,38.19,37.04,4.10,0.93,63.66,9.78,0.75%,0.85%,0.22%,69.97%,26.61%,7.79%,2.10%,372.09
UNH,UnitedHealth Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766,1977,5.47,22.83,22.12,1.73,1.47,65.54,17.59,1.25%,1.25%,0.58%,89.68%,26.15%,7.66%,43.80%,398.8
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958,3.34,9.0,33.00,3.08,8.20,35.17,45.38,0.01%,0.01%,0.57%,99.07%,46.27%,3.39%,"2,221.70%",410.89
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961,4.21,17.69,20.66,1.54,0.77,53.62,28.15,0.58%,0.63%,0.25%,96.89%,28.04%,8.91%,75.10%,445.24
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589,1988,4.69,15.89,11.15,1.06,6.57,24.56,30.52,,,2.92%,91.62%,31.77%,12.88%,45.10%,481.3
BIO,Bio-Rad Laboratories,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22,12208,1952,1.94,5.08,50.76,1.07,7.59,0.12,137.30,,,14.29%,80.85%,48.49%,2.40%,42.50%,630.13
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,6.97,31.89,34.36,1.61,8.89,12.28,75.04,,,0.13%,81.21%,23.69%,10.34%,162.30%,2353.5
GOOG,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,7.08,32.39,34.97,1.64,9.03,12.28,75.04,,,5.98%,68.81%,23.69%,10.34%,162.30%,2410.12
NVR,"NVR, Inc.",reports,Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,906163,1980,6.0,20.23,14.99,5.00,2.46,52.08,248.33,,,5.28%,86.05%,35.67%,16.75%,41.60%,5018.1
